# galaxy bin_orb_a mass_final chi_eff spin_final spin_angle_final mass_1 mass_2 spin_1 spin_2 spin_angle_1 spin_angle_2 gen_1 gen_2 time_merged
6.900000000000000000e+01 1.399258835039672158e+04 4.774654384284262676e+01 4.448759708021044618e-02 6.964883002199374618e-01 0.000000000000000000e+00 3.083835336321356380e+01 1.936781138857079299e+01 -1.723393289678675638e-02 1.542675366838388851e-01 2.134724165991714884e+00 5.686507373731354287e-01 1.000000000000000000e+00 1.000000000000000000e+00 3.600000000000000000e+05
6.900000000000000000e+01 1.653816905271557698e+04 2.594781928061279075e+01 -5.382252485549846033e-02 6.388247744543787965e-01 0.000000000000000000e+00 1.632323064872696605e+01 1.088248512618099895e+01 -5.583064080368053961e-02 -9.138759645111461938e-02 2.391782320786226101e+00 2.500993787366209808e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+05
6.900000000000000000e+01 1.449112161283384739e+04 5.949274099780070202e+01 5.366975111911914675e-01 8.493856641852335354e-01 0.000000000000000000e+00 1.400600381847477038e+01 4.788951965124807231e+01 -1.178595187268566546e-01 7.144883002199372557e-01 2.219520175214594992e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+05
6.900000000000000000e+01 2.231089805365363281e+04 3.304879948488683539e+01 -4.629803826619338994e-03 6.557168058689285539e-01 0.000000000000000000e+00 1.317760667247434192e+01 2.150687122674440488e+01 7.549089730157731298e-03 -3.888656492434313695e-03 2.969649320333286990e+00 2.416072947179465746e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.100000000000000000e+05
6.900000000000000000e+01 2.245631250788190300e+04 4.589855200417878933e+01 4.682772556635264594e-01 6.419964637640662719e-01 0.000000000000000000e+00 3.308682746619268755e+01 1.520442861453544836e+01 6.777168058689283514e-01 -1.613644587523171275e-02 0.000000000000000000e+00 6.837256031836845827e-01 2.000000000000000000e+00 1.000000000000000000e+00 5.700000000000000000e+05
6.900000000000000000e+01 2.082742298848528662e+04 4.026086152127083295e+01 1.156340704646953016e-01 6.123673066160957301e-01 0.000000000000000000e+00 3.093278492009653391e+01 1.105270433400331243e+01 1.876223408565452500e-01 1.046510899707108200e-01 8.678490597748845792e-01 3.056930479813420587e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.900000000000000000e+05
6.900000000000000000e+01 1.661122591194010965e+04 2.060895621652747778e+01 -5.224221843345563943e-02 6.705665012714489004e-01 0.000000000000000000e+00 1.079071178650304041e+01 1.087199836151054200e+01 -1.373231139790719590e-01 3.304199315197824116e-02 2.800765335562462433e+00 7.416995184599575186e-01 1.000000000000000000e+00 1.000000000000000000e+00 5.900000000000000000e+05
6.900000000000000000e+01 1.571500439374379130e+04 3.747988052013281646e+01 -2.313987630135096868e-02 6.515226383590092540e-01 0.000000000000000000e+00 1.551378565519519803e+01 2.379672082423411794e+01 -8.375067961968434005e-02 -1.832724881018127361e-02 2.405679777885587622e+00 1.448007313631162862e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.400000000000000000e+05
6.900000000000000000e+01 1.670416844826448505e+04 7.155535909393321958e+01 6.835665675138850039e-01 3.933607792652328294e-01 0.000000000000000000e+00 5.972581297387966259e+01 1.441583736040719366e+01 8.753856641852333365e-01 -1.783469577889070790e-01 0.000000000000000000e+00 2.243677306981159525e+00 3.000000000000000000e+00 1.000000000000000000e+00 6.800000000000000000e+05
6.900000000000000000e+01 1.837631862424538122e+04 4.901472975306595004e+01 5.066921634252350426e-01 5.062915432696011298e-01 0.000000000000000000e+00 4.041858964735853021e+01 1.043774872178016722e+01 6.371673066160954413e-01 1.128232928884599987e-02 0.000000000000000000e+00 1.442181695275205344e+00 2.000000000000000000e+00 1.000000000000000000e+00 7.700000000000000000e+05
6.900000000000000000e+01 1.088749019946471526e+04 5.070392690015774662e+01 -1.409643806642025543e-01 6.321452301078082092e-01 0.000000000000000000e+00 2.942218812332504996e+01 2.370475559427663725e+01 -1.275873561853372307e-01 -1.726228191762879116e-01 2.989676029444767291e+00 2.747518772929498532e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.500000000000000000e+05
6.900000000000000000e+01 1.288279577071252606e+04 2.309881115094081849e+01 2.412811949134150563e-03 6.794477476138318650e-01 0.000000000000000000e+00 1.402034713567175395e+01 1.030179068845361634e+01 1.754398394885440249e-01 -5.724239727137778178e-02 1.430971252836033436e+00 2.073523653299626623e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.800000000000000000e+05
6.900000000000000000e+01 3.180873718690465830e+04 3.829869399966391796e+01 -3.557051652189878455e-02 5.855593985635489940e-01 0.000000000000000000e+00 1.059645245886613019e+01 2.928481785063148024e+01 3.836055966432153769e-02 4.518682585207842856e-02 1.939360880029773693e+00 2.862680000000000557e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.300000000000000000e+05
