# galaxy time_passed orb_a mass orb_ecc gw_strain gw_freq id_num
0.000000000000000000e+00 0.000000000000000000e+00 2.703924132361797561e+01 3.527727791070299190e+01 1.013192880954816993e-01 2.748257255502854300e-19 4.489287091249120247e-06 1.650000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.936335218879960607e+01 0.000000000000000000e+00 6.562715408016460541e-17 6.312030947027788162e-04 1.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.357024699012332292e+01 0.000000000000000000e+00 7.502957362300091184e-17 6.312031079797996835e-04 4.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.283804792274445106e+01 0.000000000000000000e+00 5.104308444975511456e-17 6.312030741088231305e-04 7.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.090040935842235825e+01 9.999999899999999498e-01 2.436243678617925580e-17 6.312030364334598673e-04 2.100000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.941429839634352561e+01 0.000000000000000000e+00 4.339099679007465564e-17 6.312030633034194666e-04 3.300000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.750105233411662908e+01 9.999999899999999498e-01 8.381493277309172569e-17 6.312031203854781645e-04 3.400000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.588936830850451720e+01 9.999999899999999498e-01 3.551277049153912247e-17 6.312030521786881222e-04 4.300000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.246305067752585316e+01 9.999999899999999498e-01 5.020496478233666157e-17 6.312030729253263620e-04 4.700000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.013514869986383182e+01 9.999999899999999498e-01 2.265207763564041181e-17 6.312030340182859037e-04 5.000000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.278453713500987909e+01 0.000000000000000000e+00 2.857346628148200859e-17 6.312030423797950884e-04 5.900000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.567108775077671368e+01 0.000000000000000000e+00 3.502491298190698265e-17 6.312030514897914828e-04 6.500000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.141480429584713363e+01 0.000000000000000000e+00 2.551211053614457158e-17 6.312030380568979049e-04 6.600000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.640840304213477197e+01 9.999999899999999498e-01 5.902283606888426882e-17 6.312030853769161429e-04 6.700000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.281218468426632739e+01 0.000000000000000000e+00 2.863525861180807250e-17 6.312030424670511371e-04 6.900000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.143619026278250850e+01 0.000000000000000000e+00 2.555990821657899262e-17 6.312030381243924175e-04 8.200000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.568537225664018386e+01 0.000000000000000000e+00 3.505683888280200831e-17 6.312030515348735849e-04 8.600000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.194085377489434840e+01 0.000000000000000000e+00 2.668783221381527912e-17 6.312030397171178265e-04 9.500000000000000000e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.402084670701066393e+01 0.000000000000000000e+00 3.133662076509416508e-17 6.312030462816063626e-04 1.040000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.056774883469886639e+01 0.000000000000000000e+00 2.361893982860705581e-17 6.312030353835783314e-04 1.070000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.575793766158080444e+01 0.000000000000000000e+00 3.521902271675376955e-17 6.312030517638910192e-04 1.100000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.642891106511502386e+01 0.000000000000000000e+00 8.141869450873046225e-17 6.312031170017848823e-04 1.220000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.382178612939481788e+01 0.000000000000000000e+00 3.089171995591918575e-17 6.312030456533682327e-04 1.290000000000000000e+02
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.085748109938110773e+01 0.000000000000000000e+00 4.661651326340873878e-17 6.312030678581251461e-04 1.460000000000000000e+02
