# galaxy orb_a mass spin spin_angle gen id_num
0.000000000000000000e+00 3.881859717084494332e+04 2.203639014534280349e+01 -1.725003520444805261e-01 2.281218780811462565e+00 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e+04 1.500545599874329739e+01 -1.145277365193813762e-01 3.100000000000000089e+00 1.000000000000000000e+00 2.000000000000000000e+00
0.000000000000000000e+00 1.138486614914175880e+04 1.325423595088356343e+01 -1.959728899882556483e-02 1.522442618815435855e+00 1.000000000000000000e+00 3.000000000000000000e+00
0.000000000000000000e+00 3.740327399140436455e+02 1.625507371547880453e+01 -1.748377188855491093e-01 2.621342579689757812e+00 1.000000000000000000e+00 4.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e+04 1.590694737924628299e+01 4.591508091459795687e-03 2.040243668819932132e+00 1.000000000000000000e+00 6.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e+04 2.091788230010757488e+01 -8.507174199343645049e-03 1.103577226374331977e+00 1.000000000000000000e+00 7.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e+04 3.049460179832524531e+01 -1.825396356597884517e-01 2.653130045605952780e+00 1.000000000000000000e+00 8.000000000000000000e+00
0.000000000000000000e+00 5.000000000000000000e+04 3.828519818105930739e+01 -1.448979219231409377e-01 3.100000000000000089e+00 1.000000000000000000e+00 1.000000000000000000e+01
0.000000000000000000e+00 4.640796475832322903e+04 2.946346184024039161e+01 -6.988772597832722255e-02 1.735403882514879204e+00 1.000000000000000000e+00 1.300000000000000000e+01
0.000000000000000000e+00 5.000000000000000000e+04 3.793620480721420307e+01 1.891158422014189988e-02 1.719456368410902103e+00 1.000000000000000000e+00 1.900000000000000000e+01
0.000000000000000000e+00 4.599138672127950849e+04 1.392854450798582455e+01 -4.414441324372223030e-02 1.644314644219912358e+00 1.000000000000000000e+00 2.000000000000000000e+01
0.000000000000000000e+00 4.085750595016244233e+02 1.179741147570670279e+01 -7.816985544815338582e-02 1.411752055884064161e+00 1.000000000000000000e+00 2.100000000000000000e+01
0.000000000000000000e+00 3.704036149863586616e+04 1.141843378774131956e+01 -8.685723120285751553e-02 2.042552611515860317e+00 1.000000000000000000e+00 2.200000000000000000e+01
0.000000000000000000e+00 7.147921364805933990e+03 1.665901827226532461e+01 -2.047822843146874516e-01 2.535758325709925654e+00 1.000000000000000000e+00 2.400000000000000000e+01
0.000000000000000000e+00 4.708552434322440240e+04 1.107990986936389888e+01 -1.967374678544224209e-01 2.653968767978862608e+00 1.000000000000000000e+00 2.600000000000000000e+01
0.000000000000000000e+00 5.000000000000000000e+04 1.411015031714226886e+01 -1.008611276610888036e-01 2.639116965607483767e+00 1.000000000000000000e+00 2.800000000000000000e+01
0.000000000000000000e+00 3.680815475801245498e+02 2.391872119979208122e+01 -1.085361385695865488e-02 1.444294360736901872e+00 1.000000000000000000e+00 3.200000000000000000e+01
0.000000000000000000e+00 1.025801918013711111e+04 1.343257282385833662e+01 -2.071016161928735944e-01 2.793463878708060566e+00 1.000000000000000000e+00 3.900000000000000000e+01
0.000000000000000000e+00 4.268901305824676092e+04 1.027079601417436905e+01 -1.175871367897720066e-01 3.100000000000000089e+00 1.000000000000000000e+00 4.100000000000000000e+01
0.000000000000000000e+00 4.526801013295829034e+04 3.361090772940155347e+01 -9.391277690708012271e-02 3.100000000000000089e+00 1.000000000000000000e+00 4.200000000000000000e+01
0.000000000000000000e+00 1.156943093008096366e+04 1.205617792727210080e+01 -3.074906456279760669e-02 1.711608918154450265e+00 1.000000000000000000e+00 4.400000000000000000e+01
0.000000000000000000e+00 3.042656229567132323e+04 1.155441949509325816e+01 1.689806255239134636e-01 1.118586312750258438e+00 1.000000000000000000e+00 4.600000000000000000e+01
0.000000000000000000e+00 3.394431808949090191e+04 1.178710359929502971e+01 -5.243946797147799183e-02 1.553937205109162889e+00 1.000000000000000000e+00 4.800000000000000000e+01
